material,Vset,Vreset,dt,endurance,latency,energy
TiO2,3.7200657895903673,-3.5858917301621105,5.017044652173232e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.137852703195004,-3.370306358327304,5.01919958900779e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.313467294020475,-1.255537566369493,5.01742751576268e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
HfO2,3.7756414232052746,-3.7858632218647568,5.019027308904203e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.862906310388791,-0.9977279385076994,5.017450908220001e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
TiO2,3.6485963211072043,-0.8858313673285241,5.016176223614486e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
HfO2,3.7594104206957315,-3.8047259173858317,5.0173138668429916e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.540497901700636,-3.821744578944957,5.01858175695062e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.605534975527399,-1.0890031883395888,5.019926412372007e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
TiO2,1.2051838925323477,-3.6602358503021444,5.0188202486703296e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
Al2O3,3.18427498383968,-3.4092310275897764,5.017115143844567e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,1.4295471324191678,-3.5284442623611207,5.018013031227581e-08,280235856.79527503,2.385120438930244e-07,3.4019448369448924e-10
HfO2,3.7360102075573254,-3.875802511601978,5.015672500278788e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.4512527106955675,-1.5314920896849986,5.018612587569364e-08,63919970.06626337,1.2840359886467922e-09,1.0874050063169882e-09
TiO2,3.4639762178149605,-3.5112662677365285,5.01987553219125e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.5691208360638917,-3.682134459684024,5.0184911373843964e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.518809251467169,-3.496267769674682,5.017376786717878e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.704833663469959,-3.737350169186806,5.01800171991723e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.501988971583801,-1.043123980033862,5.0186804454153756e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
Al2O3,3.327269568498134,-3.380546848480104,5.0166445589895556e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.712867135859523,-3.70760378046506,5.017723029958773e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.5665327332804493,-3.742849402566962,5.0170809834410186e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.4179348285305027,-3.5026454946476,5.0176835097601e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.5326071893138113,-3.543203791701022,5.0186188142934e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.549578360212789,-3.424678190352469,5.019010695163645e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,1.438329009753837,-3.499812132426971,5.017875015961992e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
Al2O3,3.537140496660622,-3.289521041544949,5.0149507682775955e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
